label,level_1,text
43,2522,please save the remarks i have on this current song
44,11176,who was the last person to email me
44,10600,show new emails to me
44,10962,have i received any emails from beth
44,11008,open email check messages
45,1846,play purple haze
45,1561,play recently added music
45,756,play the footloose song
45,6411,play country
46,737,please pause yourself
46,2087,can you place the sound on mute
46,3322,turn off media volume
46,1920,mute the living room speakers
47,10530,complain to amazon customer service for me
47,10416,call the customer cell through phones for direct response
47,10505,make a complaint to target
47,10442,open my twitter account and tell sams club they made my cake order delicious
48,339,i need a reminder alarm at one
48,2377,i need to get up at seven am
48,1772,set the alarm for two hours from now
48,1711,alarm set for time
49,10140,what video game should i play next
49,9756,what is the cost of iphone seven
49,9746,just let me know the area of the asian continent
49,9389,what is angelina jolie's birthday
50,5169,set notification before this event
50,6102,ok google i need a meeting with the c. f. o. on thursday
50,5865,add a notification reminder and calendar event for thursday at seven am labeled sales meeting please
50,5833,call linda and remind her to pick me up for bowling
51,6960,i want you to play this game for me
51,6973,my games to play in my computers
51,6939,let's play space invaders together
51,6918,open solitaire play with me
52,1956,cancel the alarm that is set for tomorrow at eight am
52,676,delete my alarm for eight am
52,2204,cancel alarm for tenth of march two thousand seventeen
52,3112,ask them to remember always to lock the door and keep a careful watch on their keys
53,7296,delete shopping list
53,7102,remove mike stein from contacts list
53,7353,remove the last item
53,7297,can you remove my to do list
54,8269,hail taxi
54,8438,taxi now
54,8151,book me a cab olly
54,8671,call rta and book a taxi for three o'clock in the morning
55,7804,what time will a movie be shown tomorrow
55,7895,learning games
55,7875,show timings
55,8028,olly what movies are playing near me
56,801,olly i need coffee
56,3451,olly set coffee to brew at seven am
56,2541,i want coffee
56,2670,brew a pot of coffee
57,185,what is the song
57,2841,who's playing the oboe on this piece
57,151,what is this song
57,1295,what did she just sing
58,7709,play musician play list
58,7671,please play the podcast from happypeoplecom
58,7740,play podcast a
58,7667,start the podcast i was last listening to
59,7237,do i have an amazon list saved
59,7265,is there anything on my list today
59,7124,what is the number of food items on the list
59,7355,what to do lists do i have
